Part Number,Description,Qty,UOM,Unit Price,Supplier
BRG-1088,Cylindrical Roller Bearing 51105,384,ea,49.65,Swagelok Authorized
ELC-2083,Cable Gland 100A,33,Pieces,361.58,Fastenal Direct
NUT-1292,T-Nut M10,458,pcs,2.30,Parker Hannifin
BLT-1122,carriage bolt m10x40,827,Pieces,1.99,Fastenal Direct
HSE-1755,Hydraulic Pump 3/8in x 2m,11,Each,657.96,Swagelok Authorized
NUT-1203,HEX NUT M12,9162,pcs.,0.95,Georg Fischer Piping
BLT-1118,Socket Head Cap Screw 5/8x3in,3780,pcs.,5.25,McMaster Supply Co
BLT-1158,U-Bolt 5/8x3in,4317,ea.,2.13,McMaster Supply Co
WLD-2123,TIG Rod ER308L 1.0mm x 15kg,72,ea,32.24,McMaster Supply Co
LUB-1972,  Compressor Oil 20L ,39,EA,337.59,Grainger Industrial
NUT-1258,Castle Nut 3/4in,4321,Pieces,1.02,Georg Fischer Piping
FLG-1523,  Blind Flange 4in 150# ,43,ea.,100.43,McMaster Supply Co
ELB-1502,Reducing Elbow 4in,157,Pcs,20.55,Parker Hannifin
BRG-1068,Pillow Block Bearing 51105,223,EA,44.67,Georg Fischer Piping
WSH-1347,Fender Washer 5/8in,6509,pcs,0.11,ABB Sales Division
FLG-1518,Slip-On Flange 4in 300#,14,pcs.,216.23,ABB Sales Division
SLV-1930,Shaft Key 25mm,36,pcs,30.59,ABB Sales Division
BRG-1084,Cylindrical Roller Bearing 30208,110,Each,97.47,Parker Hannifin
BRG-1084,Cylindrical Roller Bearing 30208,110,Each,97.47,Parker Hannifin
WSH-1364,Tab Washer M16,9912,pcs,1.91,Georg Fischer Piping
BRG-1034,  Spherical Roller Bearing 30208 ,160,EA,74.94,Swagelok Authorized
BLT-1148,Eye Bolt 5/8x3in,2204,ea,3.28,Grainger Industrial
ORG-2028,Lip Seal 75mm ID,192,pcs,17.15,Swagelok Authorized
ELC-2092,Junction Box 160A,3,ea.,238.91,McMaster Supply Co
BLT-1124,Carriage Bolt M12x60,4485,Pcs,3.81,Fastenal Direct
NUT-1253,castle nut m12,5476,EA,1.36,Swagelok Authorized
SLV-1909,Shaft Sleeve 50mm,30,Pcs,68.44,Parker Hannifin
