SKU,Name,Units,UOM,Price,Mfg,Notes
NUT-1217,Lock Nut Nylon Insert 5/8in,9398,pcs,0.16,McMaster-Carr,backorder ok
ELC-2076,Terminal Block 160A,50,ea,147.28,ABB,urgent
FLT-1785,Air Filter Element 10 Micron,27,EA,137.45,Pall Corporation,new requirement
PIP-1437,PVC Pipe SCH40 3in x 6m,151,ea.,175.41,US Steel,
LUB-1972,Compressor Oil 20L,10,PCS,299.45,Total,
BLT-1161,  Stud Bolt M8x30 ,575,Pc,2.49,Grainger,approved by mgr
BLT-1161,  Stud Bolt M8x30 ,575,Pc,2.49,Grainger,approved by mgr
ORG-2029,V-Ring Seal 10mm ID,168,PCS,13.03,SKF,see attached spec
SLV-1907,Shaft Sleeve 30mm,6,pc,31.70,Dodge,
ELB-1497,reducing elbow 3/4in,11,EA,36.37,Victaulic,check inventory first
SLV-1923,Shaft Collar 30mm,31,PCS,110.71,Rexnord,urgent
ELC-2059,Overload Relay 100A,9,pcs,342.82,ABB,need by Friday
FLG-1530,Socket Weld Flange 3in 150#,53,Pc,240.28,Texas Flange,replacement
HSE-1739,Hydraulic Fitting 3/8in x 2m,35,ea,513.33,Bosch Rexroth,see attached spec
BLT-1145,Eye Bolt M16x80,3410,PCS,3.91,Grainger,check inventory first
BLT-1162,Stud Bolt M10x40,851,PCS,7.08,McMaster-Carr,
GSK-1665,Graphite Gasket 8in 150#,166,pcs.,6.01,Lamons,
PRS-1687,pressure gauge 4in line,13,PCS,171.84,Emerson Rosemount,need by Friday
ORG-1991,O-Ring Buna-N 20mm ID,188,ea.,9.02,Freudenberg,
BRG-1016,Tapered Roller Bearing 22210,257,ea,80.23,SKF,standard
FLT-1783,Oil Filter Element 1 Micron,80,PCS,85.36,Hydac,need by Friday
MTR-1864,Explosion Proof Motor 5HP,9,pcs.,1502.25,WEG,
FLT-1794,Hydraulic Filter Element 100 Micron,5,Pc,98.94,Donaldson,
BRG-1026,Angular Contact Bearing 22210,261,pcs,24.27,NTN,approved by mgr
GSK-1639,Ring Joint Gasket 1in 150#,167,pcs,37.71,Garlock,backorder ok
PRS-1706,Level Transmitter 0-300C,25,ea,254.86,WIKA,
ELC-2048,Contactor 32A,48,pcs,360.01,Schneider Electric,see attached spec
SLV-1948,Mechanical Seal 40mm,40,pcs,190.10,Timken,urgent
NUT-1251,Castle Nut M8,8672,ea,2.93,Fastenal,standard
LUB-1963,hydraulic oil 200l,24,pcs.,80.37,Shell,replacement
NUT-1231,Coupling Nut M8,4131,PCS,1.94,Wurth,quarterly order
MTR-1835,Gear Motor 7.5HP,10,pcs.,3257.02,Regal Beloit,need by Friday
ELC-2055,Overload Relay 25A,17,EA,312.18,Eaton,approved by mgr
ELC-2055,Overload Relay 25A,17,EA,312.18,Eaton,approved by mgr
ELB-1503,reducing elbow 6in,87,pcs,9.28,Anvil International,backorder ok
NUT-1221,Flange Nut M8,8248,Pc,2.10,McMaster-Carr,
WSH-1361,Tab Washer M8,633,ea.,1.23,Grainger,
HSE-1772,Quick Disconnect Coupling 1/2in x 3m,50,ea,345.22,Danfoss,backorder ok
NUT-1217,Lock Nut Nylon Insert 5/8in,6974,pcs,1.35,McMaster-Carr,
FLG-1539,THREADED FLANGE 4IN 150#,82,PCS,19.36,Bonney Forge,urgent
BRG-1056,Needle Roller Bearing 22210,429,pc,58.48,Timken,
BLT-1130,Flange Bolt M6x20,2151,Pc,5.76,Nord-Lock,new requirement
FLG-1537,Threaded Flange 2in 150#,12,Pc,123.41,Boltex,
GSK-1644,Ring Joint Gasket 8in 150#,187,EA,42.66,Lamons,replacement
NUT-1275,weld nut m20,9716,pc,1.64,Brighton-Best,
NUT-1275,weld nut m20,9716,pc,1.64,Brighton-Best,
PRS-1699,Flow Meter 0-300C,15,pcs,102.00,Ashcroft,see attached spec
LUB-1970,Compressor Oil 1kg,6,EA,354.94,Chevron,approved by mgr
VLV-1559,Ball Valve Full Port 6in,29,ea.,338.69,Emerson,urgent
VLV-1571,Globe Valve 1.5in,10,pcs,658.18,Crane,need by Friday
SLV-1921,Shaft Coupling 100mm,31,pcs,15.43,Timken,new requirement
MTR-1849,Servo Motor 25HP,7,pcs.,2780.39,ABB,new requirement
ORG-2011,o-ring silicone 50mm id,134,ea.,27.75,Parker,quarterly order
BRG-1035,Spherical Roller Bearing 7208,76,pc,52.04,SKF,check inventory first
LUB-1978,Chain Lubricant 200L,34,ea,195.78,Kluber,
ORG-2015,Oil Seal 20mm ID,228,PCS,10.19,James Walker,see attached spec
WSH-1319,Lock Washer 1in,6878,ea,1.11,Nord-Lock,
LUB-1954,bearing grease 400g,11,pcs.,206.58,Mobil,
ORG-2012,O-Ring Silicone 75mm ID,167,pcs.,3.50,James Walker,standard
NUT-1256,Castle Nut 1/2in,1723,Pc,2.28,Wurth,backorder ok
HSE-1771,Quick Disconnect Coupling 3/8in x 2m,46,ea,140.53,Eaton,new requirement
WSH-1335,Belleville Washer M20,4126,pc,0.69,McMaster-Carr,
ORG-2006,O-Ring Silicone 15mm ID,103,Pc,35.55,SKF,
WSH-1393,Copper Washer M12,116,Pc,1.31,McMaster-Carr,
PRS-1706,  Level Transmitter 0-300C ,7,ea.,247.98,WIKA,
WSH-1335,Belleville Washer M20,8292,EA,1.35,McMaster-Carr,quarterly order
