Item ID,Part Desc,Quantity,Cost Per Unit,Vendor,Department
ELC-2059,Overload Relay 100A,40,60.76,Seal & Gasket Warehouse,Utilities
PIP-1460,Chrome Moly Pipe 2in x 6m,74,138.21,National Bolt & Nut,Utilities
VLV-1623,Relief Valve 6in,3,744.65,SKF Global,Safety
FLT-1792,Hydraulic Filter Element 25 Micron,47,160.46,SKF Global,Utilities
MTR-1847,Servo Motor 15HP,1,3204.01,National Bolt & Nut,Maintenance
BRG-1068,Pillow Block Bearing 51105,373,42.99,National Bolt & Nut,Production
ELC-2094,Push Button Switch 16A,11,327.76,Pump Solutions Ltd,Warehouse
ORG-2031,V-Ring Seal 20mm ID,359,34.08,Electrical Supply House,Utilities
ORG-2031,V-Ring Seal 20mm ID,359,34.08,Electrical Supply House,Utilities
WSH-1393,COPPER WASHER M12,6753,0.89,Pipe & Fitting Co,Maintenance
FLG-1511,Weld Neck Flange 6in 300#,69,192.01,Timken Industrial,Production
SLV-1910,Shaft Sleeve 60mm,13,158.41,Electrical Supply House,Operations
LUB-1967,Gear Oil 20L,49,439.42,Seal & Gasket Warehouse,Engineering
BRG-1009,Deep Groove Ball Bearing UC205,68,26.56,National Bolt & Nut,Quality
BLT-1170,Anchor Bolt M6x20,3968,1.10,National Bolt & Nut,Quality
MTR-1832,Gear Motor 2HP,4,861.86,Electrical Supply House,Operations
MTR-1850,  Stepper Motor 0.5HP ,6,984.49,Pump Solutions Ltd,Engineering
WSH-1321,Spring Washer M8,3393,0.87,Pump Solutions Ltd,Engineering
BRG-1078,Self-Aligning Bearing 51105,110,22.74,Electrical Supply House,Warehouse
WSH-1330,Belleville Washer M6,9967,1.86,Valve World Inc,Maintenance
WSH-1365,Tab Washer M20,2856,1.35,Seal & Gasket Warehouse,Quality
MTR-1868,Explosion Proof Motor 20HP,1,624.01,Pipe & Fitting Co,Operations
WSH-1321,spring washer m8,7987,1.34,SKF Global,Quality
PMP-1881,Diaphragm Pump 4in 25HP,1,6973.48,Pump Solutions Ltd,Engineering
VLV-1595,  Needle Valve 1.5in ,12,756.74,Valve World Inc,Warehouse
SLV-1926,Shaft Collar 60mm,23,185.21,Seal & Gasket Warehouse,Safety
BRG-1057,Needle Roller Bearing NU210,158,44.91,National Bolt & Nut,Operations
BRG-1000,Deep Groove Ball Bearing 6205,475,51.62,Valve World Inc,Engineering
BLT-1106,  Hex Bolt M20x100 ,3792,5.16,Valve World Inc,Utilities
PRS-1712,Pressure Transmitter 0-150C,9,52.21,Valve World Inc,Operations
ELC-2090,  Junction Box 63A ,22,118.72,Pipe & Fitting Co,Safety
BLT-1131,Flange Bolt M8x30,3375,2.99,Seal & Gasket Warehouse,Operations
BLT-1145,Eye Bolt M16x80,4438,0.45,Pump Solutions Ltd,Production
BLT-1192,Lag Bolt M10x40,1773,2.28,Valve World Inc,Production
GSK-1675,Metal Jacketed Gasket 2in 150#,104,61.33,Pipe & Fitting Co,Maintenance
SLV-1924,Shaft Collar 40mm,14,57.94,Pipe & Fitting Co,Utilities
BLT-1149,Eye Bolt 3/4x4in,4426,3.95,National Bolt & Nut,Engineering
HSE-1736,Hydraulic Hose 3/8in,6,370.66,Seal & Gasket Warehouse,Production
WLD-2124,tig rod er308l 1.2mm x 15kg,11,43.83,Electrical Supply House,Utilities
VLV-1615,Diaphragm Valve 6in,7,396.45,Seal & Gasket Warehouse,Maintenance
PIP-1454,Copper Tube Type L 4in x 6m,195,152.02,Pipe & Fitting Co,Quality
WSH-1341,  Fender Washer M8 ,8774,0.09,Timken Industrial,Safety
BLT-1175,anchor bolt m16x80,4219,6.68,SKF Global,Production
PRS-1726,RTD Sensor PT100 0-150C,6,303.14,Electrical Supply House,Safety
VLV-1597,Needle Valve 3in,37,20.46,Valve World Inc,Production
FLG-1543,Threaded Flange 6in 300#,87,185.94,Seal & Gasket Warehouse,Warehouse
WSH-1392,Copper Washer M10,9643,1.40,Seal & Gasket Warehouse,Warehouse
